animal,sex,strain,cohort,session_date,stage,filename,total_trials,n_blocks,n_sound_blocks,n_action_right_blocks,n_action_left_blocks,mean_trials_until_switch,mean_latency,n_omissions
1033993,M,Fezf2,2,20260310,naive,AdaptSensorimotor_1033993_20260310_103745_boxEphys.csv,221,1,1,0,0,221.0,0.16449289321899413,162
1033993,M,Fezf2,2,20260312,naive,AdaptSensorimotor_1033993_20260312_123622_boxEphys.csv,251,1,1,0,0,251.0,0.1735456267606865,123
1033996,F,Fezf2,2,20260311,naive,AdaptSensorimotor_1033996_20260311_120426_boxEphys.csv,340,3,2,1,0,113.33333333333333,0.36165221287654,177
1033996,F,Fezf2,2,20260313,naive,AdaptSensorimotor_1033996_20260313_122023_boxEphys.csv,465,7,4,2,1,66.42857142857143,0.43240397976290795,170
1033998,F,Fezf2,2,20260304,naive,AdaptSensorimotor_1033998_20260304_131212_boxEphys.csv,238,1,1,0,0,238.0,0.6067014673481816,191
1033998,F,Fezf2,2,20260306,naive,AdaptSensorimotor_1033998_20260306_123642_boxEphys.csv,549,4,2,1,1,137.25,0.49486089876605205,199
1033999,F,Fezf2,2,20260310,naive,AdaptSensorimotor_1033999_20260310_124934_boxEphys.csv,685,8,4,2,2,85.625,0.15596992481838573,178
1033999,F,Fezf2,2,20260312,naive,AdaptSensorimotor_1033999_20260312_100010_boxEphys.csv,561,11,6,2,3,51.0,0.14218126226972033,218
1061220,F,Fezf2,3,20260527,naive,AdaptSensorimotor_1061220_20260527_123327_boxEphys.csv,612,9,5,2,2,68.0,0.2829047940114198,194
1061220,F,Fezf2,3,20260529,naive,AdaptSensorimotor_1061220_20260529_131654_boxEphys.csv,642,14,7,4,3,45.857142857142854,0.16223698782978013,159
1061233,M,Fezf2,3,20260526,naive,AdaptSensorimotor_1061233_20260526_131627_boxEphys.csv,433,1,1,0,0,433.0,0.21122834205627442,317
1061233,M,Fezf2,3,20260528,naive,AdaptSensorimotor_1061233_20260528_131414_boxEphys.csv,682,12,6,3,3,56.833333333333336,0.08260852648011337,51
1061234,M,Fezf2,3,20260601,naive,AdaptSensorimotor_1061234_20260601_145613_boxEphys.csv,686,3,2,0,1,228.66666666666666,0.09863247148153853,52
1061234,M,Fezf2,3,20260602,naive,AdaptSensorimotor_1061234_20260602_153229_boxEphys.csv,671,9,5,2,2,74.55555555555556,0.1007178403713085,70
