animal,cohort,session_date,datetime,path,filename,sex,strain,stage
1020227,2,20260304,2026-03-04 10:26:43,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1020227\Behavior\20260304\AdaptSensorimotor_1020227_20260304_102643_boxEphys.csv,AdaptSensorimotor_1020227_20260304_102643_boxEphys.csv,M,Tlx3,naive
1020227,2,20260306,2026-03-06 09:53:15,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1020227\Behavior\20260306\AdaptSensorimotor_1020227_20260306_095315_boxEphys.csv,AdaptSensorimotor_1020227_20260306_095315_boxEphys.csv,M,Tlx3,naive
1020227,2,20260316,2026-03-16 09:43:06,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1020227\Behavior\20260316\AdaptSensorimotor_1020227_20260316_094306_boxEphys.csv,AdaptSensorimotor_1020227_20260316_094306_boxEphys.csv,M,Tlx3,trained
1020227,2,20260318,2026-03-18 09:29:10,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1020227\Behavior\20260318\AdaptSensorimotor_1020227_20260318_092910_boxEphys.csv,AdaptSensorimotor_1020227_20260318_092910_boxEphys.csv,M,Tlx3,trained
1020228,2,20260317,2026-03-17 09:10:07,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1020228\Behavior\20260317\AdaptSensorimotor_1020228_20260317_091007_boxEphys.csv,AdaptSensorimotor_1020228_20260317_091007_boxEphys.csv,M,Tlx3,naive
1021218,2,20260311,2026-03-11 09:29:52,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1021218\Behavior\20260311\AdaptSensorimotor_1021218_20260311_092952_boxEphys.csv,AdaptSensorimotor_1021218_20260311_092952_boxEphys.csv,F,Fmr1-Fezf2,naive
1021218,2,20260313,2026-03-13 09:37:12,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1021218\Behavior\20260313\AdaptSensorimotor_1021218_20260313_093712_boxEphys.csv,AdaptSensorimotor_1021218_20260313_093712_boxEphys.csv,F,Fmr1-Fezf2,naive
1021218,2,20260323,2026-03-23 15:01:48,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1021218\Behavior\20260323\AdaptSensorimotor_1021218_20260323_150148_boxEphys.csv,AdaptSensorimotor_1021218_20260323_150148_boxEphys.csv,F,Fmr1-Fezf2,trained
1021218,2,20260325,2026-03-25 15:51:35,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1021218\Behavior\20260325\AdaptSensorimotor_1021218_20260325_155135_boxEphys.csv,AdaptSensorimotor_1021218_20260325_155135_boxEphys.csv,F,Fmr1-Fezf2,trained
1021219,2,20260324,2026-03-24 11:36:54,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1021219\Behavior\20260324\AdaptSensorimotor_1021219_20260324_113654_boxEphys.csv,AdaptSensorimotor_1021219_20260324_113654_boxEphys.csv,F,Fmr1-Fezf2,naive
1021219,2,20260326,2026-03-26 12:44:32,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1021219\Behavior\20260326\AdaptSensorimotor_1021219_20260326_124432_boxEphys.csv,AdaptSensorimotor_1021219_20260326_124432_boxEphys.csv,F,Fmr1-Fezf2,naive
1021219,2,20260331,2026-03-31 12:43:12,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1021219\Behavior\20260331\AdaptSensorimotor_1021219_20260331_124312_boxEphys.csv,AdaptSensorimotor_1021219_20260331_124312_boxEphys.csv,F,Fmr1-Fezf2,trained
1021219,2,20260402,2026-04-02 12:30:30,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1021219\Behavior\20260402\AdaptSensorimotor_1021219_20260402_123030_boxEphys.csv,AdaptSensorimotor_1021219_20260402_123030_boxEphys.csv,F,Fmr1-Fezf2,trained
1031912,2,20260303,2026-03-03 09:45:48,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1031912\Behavior\20260303\AdaptSensorimotor_1031912_20260303_094548_boxEphys.csv,AdaptSensorimotor_1031912_20260303_094548_boxEphys.csv,M,Tlx3,naive
1031912,2,20260305,2026-03-05 09:36:56,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1031912\Behavior\20260305\AdaptSensorimotor_1031912_20260305_093656_boxEphys.csv,AdaptSensorimotor_1031912_20260305_093656_boxEphys.csv,M,Tlx3,naive
1031912,2,20260317,2026-03-17 13:42:12,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1031912\Behavior\20260317\AdaptSensorimotor_1031912_20260317_134212_boxEphys.csv,AdaptSensorimotor_1031912_20260317_134212_boxEphys.csv,M,Tlx3,trained
1031912,2,20260319,2026-03-19 12:40:35,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1031912\Behavior\20260319\AdaptSensorimotor_1031912_20260319_124035_boxEphys.csv,AdaptSensorimotor_1031912_20260319_124035_boxEphys.csv,M,Tlx3,trained
1031913,2,20260303,2026-03-03 12:37:58,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1031913\Behavior\20260303\AdaptSensorimotor_1031913_20260303_123758_boxEphys.csv,AdaptSensorimotor_1031913_20260303_123758_boxEphys.csv,M,Tlx3,naive
1031913,2,20260305,2026-03-05 12:23:23,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1031913\Behavior\20260305\AdaptSensorimotor_1031913_20260305_122323_boxEphys.csv,AdaptSensorimotor_1031913_20260305_122323_boxEphys.csv,M,Tlx3,naive
1031913,2,20260316,2026-03-16 12:51:01,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1031913\Behavior\20260316\AdaptSensorimotor_1031913_20260316_125101_boxEphys.csv,AdaptSensorimotor_1031913_20260316_125101_boxEphys.csv,M,Tlx3,trained
1033993,2,20260310,2026-03-10 10:37:45,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033993\Behavior\20260310\AdaptSensorimotor_1033993_20260310_103745_boxEphys.csv,AdaptSensorimotor_1033993_20260310_103745_boxEphys.csv,M,Fezf2,naive
1033993,2,20260312,2026-03-12 12:36:22,L:\dmclab\Joana\PFC-Str_behavior_project\Behavior\Cohort_2\1033993\Behavior\20260312\AdaptSensorimotor_1033993_20260312_123622_boxEphys.csv,AdaptSensorimotor_1033993_20260312_123622_boxEphys.csv,M,Fezf2,naive
