animal,session_date,session_id,strain,stage,total_trials,correct,incorrect,omissions,performance,percent_correct,percent_omissions,qc_pass,qc_status,qc_reason,include,include_reason
1020227,20260304,1020227_20260304,Tlx3,naive,682,300,141,161,49.83388704318937,68.02721088435374,26.744186046511626,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1020227,20260306,1020227_20260306,Tlx3,naive,665,259,157,182,43.31103678929766,62.25961538461539,30.434782608695656,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1020227,20260316,1020227_20260316,Tlx3,trained,679,335,149,124,55.098684210526315,69.21487603305785,20.394736842105264,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1020227,20260318,1020227_20260318,Tlx3,trained,725,460,146,37,71.53965785381027,75.9075907590759,5.7542768273716955,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1020228,20260317,1020228_20260317,Tlx3,naive,453,114,43,250,28.00982800982801,72.61146496815286,61.42506142506142,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
1021218,20260311,1021218_20260311,Fmr1-Fezf2,naive,526,285,93,95,60.25369978858352,75.39682539682539,20.084566596194502,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1021218,20260313,1021218_20260313,Fmr1-Fezf2,naive,624,265,146,151,47.15302491103203,64.47688564476886,26.868327402135233,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1021218,20260323,1021218_20260323,Fmr1-Fezf2,trained,612,165,138,245,30.10948905109489,54.45544554455446,44.70802919708029,False,fail,percent_omissions >= 30; percent_correct <= 60,True,include_all_animals_ignore_criteria
1021218,20260325,1021218_20260325,Fmr1-Fezf2,trained,686,268,162,186,43.506493506493506,62.32558139534884,30.1948051948052,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1021219,20260324,1021219_20260324,Fmr1-Fezf2,naive,341,33,13,261,10.749185667752444,71.73913043478261,85.01628664495115,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
1021219,20260326,1021219_20260326,Fmr1-Fezf2,naive,600,108,75,354,20.11173184357542,59.01639344262295,65.92178770949721,False,fail,percent_omissions > 60,True,include_all_animals_ignore_criteria
1021219,20260331,1021219_20260331,Fmr1-Fezf2,trained,204,31,21,132,16.847826086956523,59.61538461538461,71.73913043478261,False,fail,total_trials <= 300; percent_omissions >= 30; percent_correct <= 60,True,include_all_animals_ignore_criteria
1021219,20260402,1021219_20260402,Fmr1-Fezf2,trained,438,188,87,110,48.83116883116883,68.36363636363636,28.57142857142857,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1031912,20260303,1031912_20260303,Tlx3,naive,653,224,111,252,38.16013628620102,66.86567164179105,42.93015332197615,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1031912,20260305,1031912_20260305,Tlx3,naive,692,422,146,54,67.84565916398714,74.29577464788733,8.681672025723474,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1031912,20260317,1031912_20260317,Tlx3,trained,735,452,177,22,69.43164362519201,71.86009538950715,3.3794162826420893,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1031912,20260319,1031912_20260319,Tlx3,trained,743,453,144,65,68.42900302114803,75.87939698492463,9.818731117824774,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1031913,20260303,1031913_20260303,Tlx3,naive,608,173,120,242,32.33644859813084,59.044368600682596,45.23364485981308,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1031913,20260305,1031913_20260305,Tlx3,naive,661,336,171,49,60.431654676258994,66.27218934911244,8.81294964028777,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1031913,20260316,1031913_20260316,Tlx3,trained,659,375,158,23,67.44604316546763,70.35647279549718,4.136690647482014,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1033993,20260310,1033993_20260310,Fezf2,naive,221,10,25,162,5.0761421319796955,28.57142857142857,82.23350253807106,False,fail,total_trials <= 300; percent_omissions > 60,True,include_all_animals_ignore_criteria
1033993,20260312,1033993_20260312,Fezf2,naive,251,46,56,123,20.444444444444446,45.09803921568628,54.666666666666664,False,fail,total_trials <= 300,True,include_all_animals_ignore_criteria
1033993,20260323,1033993_20260323,Fezf2,trained,638,279,111,182,48.77622377622377,71.53846153846153,31.818181818181817,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1033993,20260325,1033993_20260325,Fezf2,trained,610,328,106,111,60.18348623853211,75.57603686635944,20.36697247706422,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1033996,20260311,1033996_20260311,Fezf2,naive,340,54,75,177,17.647058823529413,41.86046511627907,57.84313725490197,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1033996,20260313,1033996_20260313,Fezf2,naive,465,178,70,170,42.58373205741627,71.7741935483871,40.66985645933015,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1033996,20260324,1033996_20260324,Fezf2,trained,435,74,14,302,18.974358974358974,84.0909090909091,77.43589743589745,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1033996,20260326,1033996_20260326,Fezf2,trained,511,82,29,346,17.943107221006567,73.87387387387388,75.71115973741794,False,fail,percent_omissions >= 30,True,include_all_animals_ignore_criteria
1033998,20260304,1033998_20260304,Fezf2,naive,238,4,18,191,1.8779342723004695,18.181818181818183,89.67136150234741,False,fail,total_trials <= 300; percent_omissions > 60,True,include_all_animals_ignore_criteria
1033998,20260306,1033998_20260306,Fezf2,naive,549,189,99,199,38.809034907597535,65.625,40.86242299794661,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1033999,20260310,1033999_20260310,Fezf2,naive,685,284,153,178,46.17886178861789,64.98855835240275,28.943089430894307,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1033999,20260312,1033999_20260312,Fezf2,naive,561,226,60,218,44.84126984126984,79.02097902097903,43.25396825396825,True,pass,meets criteria,True,include_all_animals_ignore_criteria
1033999,20260323,1033999_20260323,Fezf2,trained,743,449,165,54,67.21556886227546,73.1270358306189,8.08383233532934,True,pass,meets criteria,True,include_all_animals_ignore_criteria
